,Survey Year,Metric,Percentage
0,2003,E-Government Index,52.673
1,2004,E-Government Index,56.745999999999995
2,2005,E-Government Index,59.811
3,2008,E-Government Index,56.79
4,2010,E-Government Index,50.058
5,2012,E-Government Index,61.673
6,2014,E-Government Index,60.082
7,2016,E-Government Index,63.769
8,2018,E-Government Index,73.27
9,2020,E-Government Index,76.77000000000001
10,2022,E-Government Index,79.10000000000001
11,2024,E-Government Index,84.026
12,2003,E-Participation Index,37.93
13,2004,E-Participation Index,24.59
14,2005,E-Participation Index,49.206
15,2008,E-Participation Index,45.454
16,2010,E-Participation Index,28.571
17,2012,E-Participation Index,50.0
18,2014,E-Participation Index,70.588
19,2016,E-Participation Index,72.881
20,2018,E-Participation Index,97.19
21,2020,E-Participation Index,90.48
22,2022,E-Participation Index,89.77000000000001
23,2024,E-Participation Index,86.3
24,2003,Online Service Index,57.641
25,2004,Online Service Index,63.705999999999996
26,2005,Online Service Index,75.0
27,2008,Online Service Index,60.199999999999996
28,2010,Online Service Index,36.825
29,2012,Online Service Index,67.32000000000001
30,2014,Online Service Index,59.842
31,2016,Online Service Index,73.188
32,2018,Online Service Index,92.36
33,2020,Online Service Index,87.06
34,2022,Online Service Index,89.64
35,2024,Online Service Index,90.631
36,2003,Human Capital Index,83.0
37,2004,Human Capital Index,90.0
38,2005,Human Capital Index,88.0
39,2008,Human Capital Index,88.25
40,2010,Human Capital Index,88.37
41,2012,Human Capital Index,82.025
42,2014,Human Capital Index,73.72
43,2016,Human Capital Index,67.867
44,2018,Human Capital Index,75.25
45,2020,Human Capital Index,78.03
46,2022,Human Capital Index,79.53
47,2024,Human Capital Index,80.768
48,2003,Telecommunication Infrastructure Index,17.378
49,2004,Telecommunication Infrastructure Index,16.533
50,2005,Telecommunication Infrastructure Index,16.435
51,2008,Telecommunication Infrastructure Index,21.812
52,2010,Telecommunication Infrastructure Index,25.380000000000003
53,2012,Telecommunication Infrastructure Index,35.676
54,2014,Telecommunication Infrastructure Index,46.681
55,2016,Telecommunication Infrastructure Index,50.24999999999999
56,2018,Telecommunication Infrastructure Index,52.2
57,2020,Telecommunication Infrastructure Index,65.22
58,2022,Telecommunication Infrastructure Index,68.14
59,2024,Telecommunication Infrastructure Index,80.685
