Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","076","Brazil","5110","Area","6600","Country area","2000","2000","1000 ha","851577","A","Official figure",""
"RL","Land Use","076","Brazil","5110","Area","6600","Country area","2001","2001","1000 ha","851577","A","Official figure",""
"RL","Land Use","076","Brazil","5110","Area","6600","Country area","2002","2002","1000 ha","851577","A","Official figure",""
"RL","Land Use","076","Brazil","5110","Area","6600","Country area","2003","2003","1000 ha","851577","A","Official figure",""
"RL","Land Use","076","Brazil","5110","Area","6600","Country area","2004","2004","1000 ha","851577","A","Official figure",""
"RL","Land Use","076","Brazil","5110","Area","6600","Country area","2005","2005","1000 ha","851577","A","Official figure",""
"RL","Land Use","076","Brazil","5110","Area","6600","Country area","2006","2006","1000 ha","851577","A","Official figure",""
"RL","Land Use","076","Brazil","5110","Area","6600","Country area","2007","2007","1000 ha","851577","A","Official figure",""
"RL","Land Use","076","Brazil","5110","Area","6600","Country area","2008","2008","1000 ha","851577","A","Official figure",""
"RL","Land Use","076","Brazil","5110","Area","6600","Country area","2009","2009","1000 ha","851577","A","Official figure",""
"RL","Land Use","076","Brazil","5110","Area","6600","Country area","2010","2010","1000 ha","851577","A","Official figure",""
"RL","Land Use","076","Brazil","5110","Area","6600","Country area","2011","2011","1000 ha","851577","A","Official figure",""
"RL","Land Use","076","Brazil","5110","Area","6600","Country area","2012","2012","1000 ha","851577","A","Official figure",""
"RL","Land Use","076","Brazil","5110","Area","6600","Country area","2013","2013","1000 ha","851577","A","Official figure",""
"RL","Land Use","076","Brazil","5110","Area","6600","Country area","2014","2014","1000 ha","851577","A","Official figure",""
"RL","Land Use","076","Brazil","5110","Area","6600","Country area","2015","2015","1000 ha","851577","A","Official figure",""
"RL","Land Use","076","Brazil","5110","Area","6600","Country area","2016","2016","1000 ha","851577","A","Official figure",""
"RL","Land Use","076","Brazil","5110","Area","6600","Country area","2017","2017","1000 ha","851577","A","Official figure",""
"RL","Land Use","076","Brazil","5110","Area","6600","Country area","2018","2018","1000 ha","851577","I","Imputed value",""
"RL","Land Use","076","Brazil","5110","Area","6600","Country area","2019","2019","1000 ha","851577","I","Imputed value",""
"RL","Land Use","076","Brazil","5110","Area","6600","Country area","2020","2020","1000 ha","851577","I","Imputed value",""
"RL","Land Use","076","Brazil","5110","Area","6600","Country area","2021","2021","1000 ha","851577","I","Imputed value",""
"RL","Land Use","076","Brazil","5110","Area","6600","Country area","2022","2022","1000 ha","851042","A","Official figure",""
"RL","Land Use","076","Brazil","5110","Area","6600","Country area","2023","2023","1000 ha","851042","I","Imputed value",""
