,Região,Ano,Quantidade
0,Norte,2016,11571000
1,Nordeste,2016,39714000
2,Sudeste,2016,65431000
3,Sul,2016,22089000
4,Centro-Oeste,2016,11311000
5,Norte,2017,11941000
6,Nordeste,2017,40243000
7,Sudeste,2017,66314000
8,Sul,2017,22429000
9,Centro-Oeste,2017,11566000
10,Norte,2018,12239000
11,Nordeste,2018,40742000
12,Sudeste,2018,67199000
13,Sul,2018,22739000
14,Centro-Oeste,2018,11760000
15,Norte,2019,12480000
16,Nordeste,2019,41274000
17,Sudeste,2019,67984000
18,Sul,2019,22917000
19,Centro-Oeste,2019,11901000
20,Norte,2021,13011000
21,Nordeste,2021,42100000
22,Sudeste,2021,69510000
23,Sul,2021,23333000
24,Centro-Oeste,2021,12166000
25,Norte,2022,13170000
26,Nordeste,2022,42571000
27,Sudeste,2022,69989000
28,Sul,2022,23527000
29,Centro-Oeste,2022,12439000
30,Norte,2023,13418000
31,Nordeste,2023,42951000
32,Sudeste,2023,70503000
33,Sul,2023,23753000
34,Centro-Oeste,2023,12769000
